,Marka_Model_0,Marka_Model_1,Marka_Model_2,Marka_Model_3,Marka_Model_4,Marka_Model_5,Marka_Model_6,Marka_Model_7,Hiz,MaxTork,Silindir,Depo,Tuketim,Sübap,Guvenlik Group,Konfor Group,Tsi(Turbo Supercharger Injection),Yakit,Max_Güc,Garanti,Aktarma,Renk_Açık Gri,Renk_Açık Kırmızı,Renk_Açık Mavi,Renk_Açık Sarı,Renk_Bakır,Renk_Bej,Renk_Beyaz,Renk_Beyaz Siyah,Renk_Bronz,Renk_Fildişi,Renk_Gri,Renk_Gri Siyah,Renk_Gümüş,Renk_Kahverengi,Renk_Koyu Gri,Renk_Koyu Kırmızı,Renk_Koyu Mor,Renk_Koyu Turuncu,Renk_Kırmızı,Renk_Kırmızı Beyaz,Renk_Kırmızı Siyah,Renk_Lacivert,Renk_Mavi,Renk_Mavi Beyaz,Renk_Mavi Siyah,Renk_Metalik Beyaz,Renk_Metalik Gri,Renk_Metalik Kırmızı,Renk_Metalik Mavi,Renk_Metalik Siyah,Renk_Metalik Yeşil,Renk_Sarı,Renk_Sarı Siyah,Renk_Siyah,Renk_Turuncu,Renk_Yeşil,Kasa_Tipi_Arazi aracı,Kasa_Tipi_Cabriolet,Kasa_Tipi_Cityvan,Kasa_Tipi_Coupe,Kasa_Tipi_Hatchback,Kasa_Tipi_MPV,Kasa_Tipi_Minibüs,Kasa_Tipi_Pick-up,Kasa_Tipi_Sedan,Kasa_Tipi_Wagon,Sanziman,Model_Yili,Konum_Akdeniz Bölgesi,Konum_Ege Bölgesi,Konum_GüneyDoğu Anadolu Bölgesi,Konum_Karadeniz Bölgesi,Konum_Marmara Bölgesi,Konum_İç Anadolu Bölgesi,Fiyat
406,0,0,0,0,0,0,1,1,216.0,250.0,4.0,50.0,6.5,16.0,9,16,1.5,3,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,1,0,794500
407,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,8,14,1.5,3,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,809900
408,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,8,14,1.5,3,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,819900
409,0,0,0,0,0,1,0,1,220.0,250.0,4.0,59.0,6.599999904632568,16.0,6,12,1.5,3,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,824900
410,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,9,16,1.5,3,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,830000
411,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,9,16,1.5,3,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,830000
412,0,0,0,0,0,1,0,1,220.0,250.0,4.0,59.0,6.599999904632568,16.0,6,12,1.5,3,150,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,0,1,830000
413,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,8,14,1.5,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,833000
414,0,0,0,0,0,1,0,1,220.0,250.0,4.0,59.0,6.599999904632568,16.0,6,12,1.5,3,150,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,850000
415,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,9,16,1.5,3,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,850000
416,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,8,14,1.5,3,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,864900
417,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,0,0,1.5,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,1,0,0,869750
418,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,8,14,1.5,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,1,875000
419,0,0,1,0,1,0,0,1,205.0,250.0,4.0,50.0,6.599999904632568,16.0,8,14,1.5,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,1,880000
420,0,0,0,0,0,1,1,1,202.0,250.0,4.0,60.0,6.400000095367432,16.0,7,14,1.5,3,150,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,883500
421,0,0,0,0,0,1,0,1,205.0,250.0,4.0,59.0,4.5,16.0,6,12,1.6,2,120,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,889900
422,0,0,0,0,0,1,0,1,205.0,250.0,4.0,59.0,4.5,16.0,6,12,1.6,2,120,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,889900
423,0,0,0,0,0,1,0,1,205.0,250.0,4.0,59.0,4.5,16.0,6,12,1.6,2,120,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,889900
424,0,0,0,0,0,1,0,1,205.0,250.0,4.0,59.0,4.5,16.0,6,12,1.6,2,120,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,889900
425,0,0,0,0,0,1,0,1,220.0,250.0,4.0,59.0,6.599999904632568,16.0,9,16,1.5,3,150,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,1,0,890000
426,0,0,0,0,0,1,0,1,220.0,250.0,4.0,59.0,6.599999904632568,16.0,8,14,1.5,3,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,1,0,0,903750
427,0,0,0,0,0,1,0,1,220.0,250.0,4.0,59.0,6.599999904632568,16.0,8,14,1.5,3,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,1,0,0,903750
428,0,0,0,0,0,1,1,1,202.0,250.0,4.0,60.0,6.400000095367432,16.0,7,14,1.5,3,150,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,909000
429,0,0,0,0,0,1,1,1,202.0,250.0,4.0,60.0,6.400000095367432,16.0,7,14,1.5,3,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,909000
430,0,0,0,0,0,1,1,1,202.0,250.0,4.0,60.0,6.400000095367432,16.0,7,14,1.5,3,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,909900
